rpid,点赞数量,用户,性别,等级,评论内容,发布时间
140595278864,1,SnowIsland,女,6,为什么我下载不了[大哭]一直显示连接错误,20天前发布
140594013456,1,walker_hou,保密,5,不错！！可是，下载不了呢，是不是链接挂了？,20天前发布
140591190912,1,超梦DE逆袭,女,5,谢谢你，开源侠,20天前发布
140452988160,1,大艺术家郭没,保密,6,我爱弯钩儿，只有做字才能体会到做字的痛[热词系列_泪目],21天前发布
140310725760,1,朝倉ヤミ,男,6,为啥我adobe全都用不了这个字体呀 字体列表里不显示,22天前发布
140310529184,1,夜に行くよ,男,6,还是有其他免费中文艺术字体的，就是名字花里胡哨、字体也比较花哨，没有等宽中文艺术字体[笑哭],22天前发布
140257798080,1,黄昏弄影,男,6,感谢六蛋大佬！ 就是有没有Windows10的使用教程来一个[害羞],22天前发布
140246305392,1,ANOOOoooo,男,4,求问Mac怎么装呀,22天前发布
140179678736,1,Hooooan丶,男,5,码一下 作为前端开发 得意黑真的很棒,23天前发布
140077161936,1,合欢宗快长老,男,5,好！！！,23天前发布
140036255728,1,精神扎鲁,男,4,兄弟们 为啥在 pr ps里找不到[脱单doge][脱单doge][脱单doge],24天前发布
139977418464,1,B站的JAJA,保密,6,犹如《编舟记》一般地呈现 向up致敬！ 瑞思拜！,24天前发布
139977340640,1,人体解剖画集兰妮妮,保密,4,值得学习啊。。,24天前发布
139959672016,1,九十九个字,保密,6,6个蛋老师牛皮！希望可以在后续更新中加入对Cyrillic字符集的支持，也就是俄文那套西里尔字符,24天前发布
139938749136,1,Da菠萝,保密,6,太牛逼了，真正的互联网精神[打call][打call][打call],25天前发布
139604381344,1,flychina,保密,5,加油~！,27天前发布
139453886624,1,来啦-嗨嗨嗨,保密,2,感谢up,28天前发布
139429671328,1,我是船长大佬,保密,4,我突然发现我写的字，也能作为一款字体,28天前发布
139427783936,1,伯曼猫猫,保密,6,牛批,28天前发布
139409801552,1,低制作龚仟,男,5,点赞数跟投币数几乎持平，我单方面宣布佛祖现在是榜二[脱单doge],28天前发布
139232081360,1,也到先森,保密,4,能上架小米主题商店么[脱单doge][星星眼]@oooooohmygosh,29天前发布
139221055120,1,小果老父亲,男,6,感谢up,29天前发布
139183822448,1,黑猫loli嘎w,男,6,如果用粤语念这个 得意黑，其实意思好得意[妙啊],29天前发布
139167710784,1,踢倒一只暖壶,女,6,那不得给你俩硬币赞助一下你[阿山和他的小伙伴们_牛],29天前发布
139150331488,1,为_欢,保密,2,冒昧的问一下，下载了如何应用啊？,29天前发布
