rpid,点赞数量,用户,性别,等级,评论内容,发布时间
142901050912,121,干嘛呀-呀,保密,5,每一届学生都在学这些,5天前发布
142901700464,5,不是圣人鹰,男,6,是的，是你们导师[哈欠],5天前发布
142904859120,2,毕达哥拉斯半圆,男,6,智子,5天前发布
142906337952,4,Absurdist众妙之门,男,4,我是03年的，确实有同感,5天前发布
142908047472,19,少年不会再快乐了,保密,6,哈哈哈真相了。甚至几十年前的了,5天前发布
142909894912,4,尼祖233,男,5,至少我真的是03出生的[笑哭]前几天刚考过,5天前发布
142914968384,4,Live_Free_or_Die,女,5,我也是03年的，之前线代和概率论刚好踩点[笑哭],5天前发布
142933976960,11,螺肉烧烤,男,6,完了，毕业了不会算[doge],5天前发布
142941085920,11,MY木弈,保密,6,32X15 = 16X2X15 = 16X30 = 480（应该没错吧[tv_呆],5天前发布
142947967312,58,江东霸孙策,女,5,32×15＝16×30＝480,5天前发布
142948383184,0,吃花椒的边角料,保密,5, 妈妈省的,5天前发布
142949660080,25,当---归,保密,4,我来回答32*15！！2*5=103*5+2*1=171*3=3300+170+10=480我学会了！,5天前发布
142955941744,73,焦糖布丁大橘狼寻生,男,6,请各位考生运用FFT技巧哦，不要直接使用两位数乘法计算，那个太高端了我们以后再讲,5天前发布
142959789200,83,OnceUpon,保密,5,試了一下～取有限域 Z/401Z 及 ω = 20，易知其乘法階為 4；A = 【2， 3， 0， 0】B = 【5， 1， 0， 0】F(A) = 【5， 62， 400， 343】F(B) = 【6， 25， 4， 386】逐點相乘得 【30， 347， 397， 68】然後逆變換得 【10， 17， 3， 0】最後計算進位：．．．．．３．．．１７．．．１０＝＝＝＝．４８０即得 32 × 15 = 480,5天前发布
142961277376,14,我呵呵笑而不语,保密,6, 一个数字可以写成f(10)=a1X^n+a2x^(n-1)+...an+1比如f1(10)=32=3*x+2 f2(10)=15=1*x+5然后根据视屏里讲的方法f1(10)*f2(10)=3x^2+(15+2)x+10=300+170+10=480,5天前发布
142963316112,0,塔塔利亚大列巴,男,5,算一下16*55吧[doge],5天前发布
142996611200,1,Despicable_hyx,男,5,不懂就问 为什么可以取有限域啊？401是随便取的素数还是有特殊意义的？(｀・ω・´),5天前发布
142906539184,29,VMware的win7,男,5,专门翻评论来找acmer/oier[doge],5天前发布
142910319136,22,一只瞎起名的彬彬,保密,3,Fast False(WA)&amp;TLE,5天前发布
142916402096,3,SkyRainWind,保密,5,常数太大是这样的,5天前发布
142919024240,13,魔法少女伊蕾娜,保密,5,你是懂oi的[支持],5天前发布
142920677296,0,Prohonor,保密,5,草,5天前发布
142923103872,0,Joker_1212_CHN,男,4,大草,5天前发布
142923242768,4,Caronell,男,6,谢谢你成功让我一口水喷出来[doge],5天前发布
142923731888,1,圣辇船,男,5,哈哈哈哈哈哈哈哈,5天前发布
142923736464,0,圣辇船,男,5,笑死,5天前发布
